FIPStxt,State,Area_Name,Rural_Urban_Continuum_Code_2013,Rural_Urban_Continuum_Code_2023,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,POP_ESTIMATE_2023,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022,N_POP_CHG_2023,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,BIRTHS_2023,DEATHS_2020,DEATHS_2021,DEATHS_2022,DEATHS_2023,NATURAL_CHG_2020,NATURAL_CHG_2021,NATURAL_CHG_2022,NATURAL_CHG_2023,INTERNATIONAL_MIG_2020,INTERNATIONAL_MIG_2021,INTERNATIONAL_MIG_2022,INTERNATIONAL_MIG_2023,DOMESTIC_MIG_2020,DOMESTIC_MIG_2021,DOMESTIC_MIG_2022,DOMESTIC_MIG_2023,NET_MIG_2020,NET_MIG_2021,NET_MIG_2022,NET_MIG_2023,RESIDUAL_2020,RESIDUAL_2021,RESIDUAL_2022,RESIDUAL_2023,GQ_ESTIMATES_BASE_2020,GQ_ESTIMATES_2020,GQ_ESTIMATES_2021,GQ_ESTIMATES_2022,GQ_ESTIMATES_2023,R_BIRTH_2021,R_BIRTH_2022,R_BIRTH_2023,R_DEATH_2021,R_DEATH_2022,R_DEATH_2023,R_NATURAL_CHG_2021,R_NATURAL_CHG_2022,R_NATURAL_CHG_2023,R_INTERNATIONAL_MIG_2021,R_INTERNATIONAL_MIG_2022,R_INTERNATIONAL_MIG_2023,R_DOMESTIC_MIG_2021,R_DOMESTIC_MIG_2022,R_DOMESTIC_MIG_2023,R_NET_MIG_2021,R_NET_MIG_2022,R_NET_MIG_2023
01001,AL,Autauga County,2,2,2,0,58805,58809,58915,59203,59726,60342,106,288,523,616,162,686,706,714,176,696,687,621,-14,-10,19,93,0,15,22,34,100,242,507,491,100,257,529,525,20,41,-25,-2,484,484,484,484,484.0,11.6,11.9,11.9,11.8,11.6,10.3,-0.2,0.3,1.5,0.3,0.4,0.6,4.1,8.5,8.2,4.4,8.9,8.7
01003,AL,Baldwin County,3,3,2,5,231767,231768,233227,239439,246531,253507,1459,6212,7092,6976,560,2337,2511,2531,602,2948,3022,2640,-42,-611,-511,-109,11,105,250,291,1613,6972,7036,6804,1624,7077,7286,7095,-123,-254,317,-10,3549,3448,3351,3468,3493.0,9.9,10.3,10.1,12.5,12.4,10.6,-2.6,-2.1,-0.4,0.4,1.0,1.2,29.5,29.0,27.2,29.9,30.0,28.4
01005,AL,Barbour County,6,6,6,3,25223,25229,24969,24533,24700,24585,-260,-436,167,-115,60,270,278,267,92,390,363,350,-32,-120,-85,-83,0,0,2,13,-186,-313,237,-45,-186,-313,239,-32,-42,-3,13,0,2721,2482,2248,2702,2702.0,10.9,11.3,10.8,15.8,14.7,14.2,-4.8,-3.5,-3.4,0.0,0.1,0.5,-12.6,9.6,-1.8,-12.6,9.7,-1.3
01007,AL,Bibb County,1,1,1,0,22293,22301,22188,22359,21986,21868,-113,171,-373,-118,56,240,236,240,55,325,314,290,1,-85,-78,-50,0,1,1,1,-101,254,-303,-69,-101,255,-302,-68,-13,1,7,0,2141,2060,1994,2025,1894.0,10.8,10.6,10.9,14.6,14.2,13.2,-3.8,-3.5,-2.3,0.0,0.0,0.0,11.4,-13.7,-3.1,11.4,-13.6,-3.1
01009,AL,Blount County,1,1,1,0,59134,59130,59107,59079,59516,59816,-23,-28,437,300,137,654,693,698,199,875,846,776,-62,-221,-153,-78,1,9,8,24,21,141,589,358,22,150,597,382,17,43,-7,-4,616,616,616,616,616.0,11.1,11.7,11.7,14.8,14.3,13.0,-3.7,-2.6,-1.3,0.2,0.1,0.4,2.4,9.9,6.0,2.5,10.1,6.4
01011,AL,Bullock County,6,8,6,3,10357,10360,10229,10143,10143,9897,-131,-86,0,-246,24,111,103,102,41,160,138,133,-17,-49,-35,-31,0,1,5,6,-94,-42,32,-219,-94,-41,37,-213,-20,4,-2,-2,1705,1631,1578,1648,1615.0,10.9,10.2,10.2,15.7,13.6,13.3,-4.8,-3.5,-3.1,0.1,0.5,0.6,-4.1,3.2,-21.9,-4.0,3.6,-21.3
01013,AL,Butler County,6,6,6,0,19051,19046,19025,18890,18668,18382,-21,-135,-222,-286,47,227,207,212,88,297,312,299,-41,-70,-105,-87,0,5,6,8,15,-75,-117,-207,15,-70,-111,-199,5,5,-6,0,285,285,285,285,285.0,12.0,11.0,11.4,15.7,16.6,16.1,-3.7,-5.6,-4.7,0.3,0.3,0.4,-4.0,-6.2,-11.2,-3.7,-5.9,-10.7
01015,AL,Calhoun County,3,3,2,4,116441,116441,116243,115678,115780,116429,-198,-565,102,649,305,1250,1334,1346,397,1843,1852,1649,-92,-593,-518,-303,0,12,22,29,-115,-70,635,923,-115,-58,657,952,9,86,-37,0,5632,5554,5407,5749,5936.0,10.8,11.5,11.6,15.9,16.0,14.2,-5.1,-4.5,-2.6,0.1,0.2,0.2,-0.6,5.5,7.9,-0.5,5.7,8.2
01017,AL,Chambers County,6,6,5,0,34772,34772,34651,34488,34164,34079,-121,-163,-324,-85,87,392,401,398,167,592,558,511,-80,-200,-157,-113,2,22,49,55,-51,-6,-208,-26,-49,16,-159,29,8,21,-8,-1,860,860,856,860,860.0,11.3,11.7,11.7,17.1,16.3,15.0,-5.8,-4.6,-3.3,0.6,1.4,1.6,-0.2,-6.1,-0.8,0.5,-4.6,0.8
01019,AL,Cherokee County,6,8,6,0,24971,24973,24969,25074,25353,25666,-4,105,279,313,62,254,238,230,122,442,456,409,-60,-188,-218,-179,0,7,14,14,59,284,476,482,59,291,490,496,-3,2,7,-4,278,278,278,278,278.0,10.2,9.4,9.0,17.7,18.1,16.0,-7.5,-8.6,-7.0,0.3,0.6,0.5,11.4,18.9,18.9,11.6,19.4,19.4
